Signal,Canonical Transformation,Fundamental Feature,Priority Tier,Vendor Adoption,Vendors Supporting It,What It Does,Config Method,Custom Code
Logs,Filter/Drop,Conditional record drop/keep,Tier 1,14 / 16,"Chronosphere, Coralogix, Cribl, Datadog, Dynatrace, Edge Delta, Elastic, Grafana Labs, Mezmo, New Relic, OpenTelemetry, Splunk, Sumo Logic, Vector (Datadog)","Drops or retains whole records based on a match condition (regex, field value, boolean expression).",UI/YAML/API,"Optional - DPXL, JavaScript, OTTL, NRQL, SPL2, VRL"
Logs,Parse/Extract,Pattern-based field extraction (Grok/regex/dissect),Tier 1,11 / 16,"Chronosphere, Coralogix, Cribl, Datadog, Edge Delta, Elastic, Grafana Labs, Mezmo, New Relic, Splunk, Sumo Logic","Extracts structured fields from unstructured text using regex, Grok, or delimiter-based patterns.",UI/YAML/API,"Optional - JavaScript, SPL2"
Logs,Convert Signal,Log-to-metric conversion (count/gauge/distribution),Tier 1,9 / 16,"Chronosphere, Datadog, Elastic, Grafana Labs, Mezmo, New Relic, Splunk, Sumo Logic, Vector (Datadog)","Derives count, gauge, or distribution metrics from matching log events at ingest.",UI/YAML/API,"Yes - NRQL, SPL2"
Logs,Redact/Mask,Regex/pattern-based value masking or redaction,Tier 1,9 / 16,"Chronosphere, Cribl, Datadog, Edge Delta, Elastic, New Relic, OpenTelemetry, Splunk, Sumo Logic",Detects sensitive values via regex/keyword patterns and replaces or obscures them in place.,UI/YAML/API,"Optional - JavaScript, SPL2"
Logs,Sample,Percentage/rate-based random sampling,Tier 1,8 / 16,"Chronosphere, Cribl, Datadog, Edge Delta, Grafana Labs, Mezmo, OpenTelemetry, Vector (Datadog)","Retains a configurable percentage or 1-in-N rate of matching records, discarding the rest.",UI/YAML/API,No
Logs,Enrich,Static key/value tag enrichment,Tier 2,7 / 16,"Chronosphere, Datadog, Dynatrace, Edge Delta, Elastic, Grafana Labs, OpenTelemetry",Adds one or more fixed or conditionally-scoped key/value pairs to matching records.,UI/YAML/API,No
Logs,Rename/Remap,Field/key rename,Tier 2,7 / 16,"Chronosphere, Cribl, Dynatrace, Elastic, Grafana Labs, Mezmo, Splunk",Changes the name of one or more fields/keys without altering their values.,UI/YAML/API,"Optional - JavaScript, OTTL, SPL2"
Logs,Custom Transform,General-purpose scripted transform (custom-code escape hatch),Tier 2,6 / 16,"Chronosphere, Datadog, Dynatrace, Elastic, OpenTelemetry, Vector (Datadog)",A scripting stage (VRL/OTTL/Lua/Painless/DQL) for logic too complex for the declarative rule set.,UI/YAML/API,"Yes - VRL, DQL, Painless, OTTL, Lua 5.4"
Logs,Dedupe,Time-windowed duplicate record suppression,Tier 2,6 / 16,"Chronosphere, Cribl, Datadog, Edge Delta, Mezmo, Vector (Datadog)","Detects and drops duplicate/repetitive records within a sliding time window, keyed on configurable fields.",UI/YAML/API,No
Logs,Enrich,External lookup-table join enrichment,Tier 2,5 / 16,"Cribl, Datadog, Edge Delta, Elastic, Splunk","Enriches records by matching a field against an external lookup table/file (CSV, MMDB, etc.).",UI/YAML/API,Yes - SPL2
Logs,Enrich,GeoIP lookup enrichment,Tier 2,5 / 16,"Cribl, Datadog, Dynatrace, Elastic, Grafana Labs",Enriches a record with geographic fields derived from an IP address.,UI/YAML/API,No
Logs,Route,Condition-based multi-destination routing,Tier 2,5 / 16,"Edge Delta, Mezmo, OpenTelemetry, Splunk, Vector (Datadog)",Splits the event stream into multiple named paths/destinations based on match conditions.,UI/YAML,"Yes - OTTL, SPL2, VRL"
Logs,Aggregate/Rollup,Combine multiple related events into one,Tier 2,4 / 16,"Datadog, Elastic, Mezmo, Vector (Datadog)",Merges multiple related events into a single event using group-by fields and a merge strategy.,UI/YAML/API,"Yes - Ruby, VRL"
Logs,Parse/Extract,JSON field extraction,Tier 2,4 / 16,"Coralogix, Datadog, Elastic, Splunk",Parses a JSON-formatted field/string into individual structured fields.,UI/YAML/API,Yes - SPL2
Logs,Rate-limit/Quota,Throughput rate-limiting (token bucket / GCRA),Tier 2,4 / 16,"Datadog, Grafana Labs, Mezmo, Vector (Datadog)","Rate-limits event throughput using a token-bucket-style algorithm, dropping or queuing entries above the configured rate.",UI/YAML/API,No
Logs,Format Conversion,Array-to-multiple-records expansion (unroll/split),Tier 3,3 / 16,"Chronosphere, Cribl, Mezmo","Breaks an array field into individual standalone records, one per array element.",UI/YAML,Optional - JavaScript
Logs,Format Conversion,Nested object flatten/unflatten,Tier 3,3 / 16,"Chronosphere, Cribl, Elastic",Moves nested key-value pairs to/from the top level of a record.,UI/YAML/API,No
Logs,Parse/Extract,Automatic timestamp detection & extraction,Tier 3,3 / 16,"Cribl, Elastic, Grafana Labs","Detects and extracts a timestamp from a field, trying a sequence of formats, to set the record's official time.",UI/YAML/API,Optional - JavaScript
Logs,Redact/Mask,Field value hashing,Tier 3,3 / 16,"Chronosphere, Grafana Labs, Sumo Logic","Hashes a field's value in place (or into a new field), obscuring it while preserving uniqueness.",UI/YAML,No
Logs,Rename/Remap,Remove specific attribute,Tier 3,3 / 16,"Datadog, Dynatrace, Grafana Labs",Deletes a named field/label from a record.,UI/YAML,No
Logs,Aggregate/Rollup,Time-windowed statistical aggregation (sum/avg/count/etc.),Tier 3,2 / 16,"Cribl, Splunk",Computes summary statistics from event data over a configurable time window and group-by fields.,UI,Yes - SPL2
Logs,Enrich,Kubernetes metadata enrichment,Tier 3,2 / 16,"Grafana Labs, OpenTelemetry",Adds Kubernetes pod/namespace metadata to records by querying the Kubernetes API.,YAML,No
Logs,Filter/Drop,Remove specific field/key (record kept),Tier 3,2 / 16,"Chronosphere, Elastic",Strips one or more named fields/keys from a record while keeping the record itself.,UI/YAML/API,No
Logs,Format Conversion,JSON encode/decode (string <-> object),Tier 3,2 / 16,"Chronosphere, Elastic",Converts between a JSON string and a structured JSON object.,UI/YAML,No
Logs,Format Conversion,Regex-based string substitution (format repair),Tier 3,2 / 16,"Coralogix, Elastic","Modifies matched text within a field using a regex pattern and replacement string, often to repair malformed data.",UI/YAML/API,No
Logs,Format Conversion,Security-schema normalization (OCSF),Tier 3,2 / 16,"Datadog, Splunk",Normalizes security log events into the Open Cybersecurity Schema Framework standard.,UI/API,Yes - SPL2
Logs,Parse/Extract,User-Agent string parsing,Tier 3,2 / 16,"Datadog, Elastic",Parses a User-Agent header string into OS/browser/device fields.,UI/YAML/API,No
Logs,Rename/Remap,Bulk field add/rename/modify (generic edit),Tier 3,2 / 16,"Cribl, Datadog","A single generic UI/processor that covers adding, renaming, and modifying field values together.",UI/API,Yes - JavaScript
Logs,Rename/Remap,Field value find/replace (regex substitution),Tier 3,2 / 16,"Chronosphere, Grafana Labs",Finds and replaces text within a field's value using a regex pattern.,UI/YAML,No
Logs,Route,Storage-bucket/index assignment routing,Tier 3,2 / 16,"Dynatrace, Splunk","Assigns the first matching record to a specific storage bucket or index, controlling retention/analysis scope.",UI/YAML,Yes - SPL2
Logs,Aggregate/Rollup,Combine values from multiple records into an array,Tier 3,1 / 16,Chronosphere,Combines values from multiple related records into a single array field.,UI/YAML,No
Logs,Aggregate/Rollup,Threshold/condition-triggered aggregation (custom-code evaluation),Tier 3,1 / 16,Mezmo,Accumulates field values over a window and evaluates them via a custom scripted condition.,UI,Yes - JavaScript
